SampleID,total_raw_reads_pair1,Collapsed_single,paired_reads_truncated,Merged_reads,After_PolyT_Remnants,Discarded_total,Coverage Depth ,Breadth Coverage
DB-38,144297482,106798643,19948254,126746897,120916322,23381160,0.34226,29.789
DB-39,96441296,61665193,8386452,70051645,66001016,30440280,3.09288,89.1274
DK-47,89232812,67819963,13676670,81496633,78957275,10275537,3.37792,93.6993
DK-49,150364583,106426649,20419952,126846601,122134613,28229970,28.4742,99.994
DP-52,104582638,70292182,27654908,97947090,93795504,10787134,25.6571,99.1624
DP-53,83776317,55591497,16895112,72486609,68382844,15393473,2.896,90.329
KU-32,127594788,81122918,11827496,92950414,88748782,38846006,"1,32",68.568
KU-34,100048538,72418092,15607516,88025608,82593167,17455371,4.34178,91.6188
KU-35,121951568,80065404,15873180,95938584,89806661,32144907,3.09557,94.1184
LV-17,96084004,72432614,16730538,89163152,85159379,10924625,0.00453461,0.453461
LV-19,89405084,72615510,7540166,80155676,77772938,11632146,0.0957041,9.05728
LV-22,130003866,104800730,8024122,112824852,108201530,21802336,0.0106802,1.06802
LV-24,97093518,73262261,15210142,88472403,84009607,13083911,0.352148,29.3138
LV-28,143453023,107655819,32890330,140546149,134674532,8778491,3.77308,93.2996
LV-29,124866078,93663206,27936666,121599872,116319439,8546639,5.68779,95.2353
PA-01,83542080,55749019,21763616,77512635,74068139,9473941,3.72733,"93,037"
PA-11,124102227,87819697,28644806,116464503,111738688,12363539,5.36247,97.6253
PA-16,101015385,67270371,34462146,101732517,98049863,2965522,1.4585,75.5848
PA-04,115727423,75332639,44375334,119707973,113269917,2457506,1.086,64.4372
PA-06,206737232,137761500,53784398,191545898,181487864,25249368,29.475,97.2546
ST-54,120230204,80304197,26527364,106831561,102476034,17754170,26.6443,99.1826
ST-55,102172190,70388429,19214174,89602603,85587120,16585070,25.1297,98.8544
ST-56,131033998,95189288,22395896,117585184,113329783,17704215,8.17566,98.3831
VM-43,150331965,102571686,47821754,150393440,144777651,5554314,4.40465,95.9964
VM-44,138142930,88337825,37207602,125545427,120828682,17314248,2.67428,90.5131
